Respondent_ID,Age_Group,Gender,City_Tier,Status,Income,Gaming_Platform,Gaming_Hours_Per_Week,Setup_Type,Price_Sensitivity,Preferred_Style,Preferred_Color,Purchase_Channel,Spending_Per_Purchase,Annual_Setup_Budget,Purchase_Likelihood,Own_Keycaps,Own_Coiled_Cable,Own_Deskmat,Own_Cable_Sleeves,Own_Streaming_Gear
340,18-21,Male,Tier 3,Student,20000-50000,Mobile,6-10,High-end PC,Discount seeker,Cyberpunk,Pastel,Amazon,500-1500,2000-5000,Maybe,0,0,1,0,0
341,18-21,Male,Tier 1,Other,No income,PC/Laptop,2-5,Basic PC/Laptop,Balanced,No preference,Green,Amazon,Under 500,Under 2000,Likely,0,0,0,0,0
342,18-21,Male,Tier 3,Other,50000-100000,PC/Laptop,<2,Mid-range PC,Balanced,No preference,RGB,Flipkart,3000-7000,10000-20000,Unlikely,1,1,0,0,0
343,Under 18,Male,Tier 1,Student,Under 20000,Mobile,10-20,Mid-range PC,Discount seeker,RGB,Pastel,Amazon,500-1500,Under 2000,Likely,0,0,1,0,0
344,22-25,Female,Tier 1,Working Professional,20000-50000,PC/Laptop,2-5,Mid-range PC,Discount seeker,Anime,Black,Offline Store,500-1500,5000-10000,Maybe,0,0,0,0,0
345,18-21,Male,Tier 2,Student,Under 20000,PlayStation,<2,Mobile only,Cheapest option,Cyberpunk,Purple,Brand Website,Under 500,Under 2000,Very likely,1,1,1,0,0
346,26-30,Male,Tier 2,Working Professional,20000-50000,PC/Laptop,6-10,High-end PC,Balanced,Anime,Green,Amazon,1500-3000,5000-10000,Maybe,0,0,1,0,0
347,Under 18,Female,Tier 2,Working Professional,No income,Mobile,10-20,Console,Discount seeker,RGB,Blue,Amazon,500-1500,2000-5000,Very likely,0,0,0,0,0
348,31-40,Male,Tier 3,Working Professional,No income,Mobile,2-5,Basic PC/Laptop,Balanced,No preference,RGB,International Websites,500-1500,Under 2000,Likely,0,1,0,0,0
349,26-30,Prefer not to say,Tier 3,Student,50000-100000,Mobile,6-10,High-end PC,Discount seeker,RGB,Pastel,International Websites,3000-7000,10000-20000,Unlikely,0,0,0,1,0
350,18-21,Male,Tier 1,Working Professional,100000-200000,Mobile,2-5,Basic PC/Laptop,Premium buyer,Anime,Red,International Websites,3000-7000,Above 20000,Likely,0,0,1,0,0
351,18-21,Male,Tier 1,Working Professional,No income,Mobile,10-20,Mobile only,Balanced,RGB,Black,Flipkart,Under 500,2000-5000,Very likely,0,1,0,0,0
352,26-30,Male,Tier 2,Student,No income,Multiple,10-20,Console,Premium buyer,No preference,RGB,Offline Store,Under 500,Under 2000,Likely,0,0,0,0,0
353,18-21,Male,Tier 1,Student,20000-50000,Mobile,<2,High-end PC,Discount seeker,No preference,Green,Offline Store,500-1500,5000-10000,Likely,0,0,0,0,0
354,22-25,Male,Tier 2,Working Professional,Under 20000,PlayStation,<2,High-end PC,Discount seeker,Anime,Green,Offline Store,500-1500,2000-5000,Very unlikely,0,0,0,0,0
355,22-25,Female,Tier 2,Freelancer/Creator,No income,Mobile,10-20,Mid-range PC,Discount seeker,RGB,Green,Amazon,500-1500,Under 2000,Very unlikely,0,0,0,0,0
356,18-21,Male,Tier 3,Student,No income,Mobile,6-10,Mobile only,Premium buyer,No preference,Purple,Flipkart,Under 500,2000-5000,Likely,0,0,0,0,0
357,18-21,Male,Tier 3,Student,Under 20000,PlayStation,6-10,Mid-range PC,Cheapest option,No preference,Blue,Amazon,Under 500,2000-5000,Unlikely,0,0,1,0,1
358,18-21,Female,Tier 2,Student,No income,PC/Laptop,<2,High-end PC,Premium buyer,No preference,Pastel,Flipkart,Under 500,Under 2000,Unlikely,0,0,1,0,0
359,Under 18,Female,Tier 3,Student,20000-50000,Xbox,6-10,Basic PC/Laptop,Discount seeker,RGB,Blue,Amazon,500-1500,5000-10000,Very likely,0,1,0,1,1
360,Under 18,Male,Tier 2,Other,Above 200000,Mobile,2-5,Console,Premium buyer,Minimal,Pastel,Brand Website,3000-7000,Above 20000,Unlikely,0,0,0,0,0
361,26-30,Female,Tier 3,Student,50000-100000,Mobile,2-5,High-end PC,Balanced,No preference,RGB,Offline Store,1500-3000,5000-10000,Maybe,0,0,1,0,0
362,22-25,Male,Tier 3,Student,20000-50000,PlayStation,6-10,High-end PC,Premium buyer,No preference,Green,Offline Store,1500-3000,5000-10000,Likely,1,1,0,0,0
363,Above 40,Female,Tier 2,Working Professional,No income,Multiple,>20,Mid-range PC,Balanced,Minimal,RGB,Amazon,500-1500,2000-5000,Likely,1,0,0,0,1
364,22-25,Male,Tier 1,Other,50000-100000,PC/Laptop,<2,High-end PC,Premium buyer,Anime,RGB,Flipkart,1500-3000,5000-10000,Very unlikely,0,1,0,0,0
365,Under 18,Male,Tier 2,Student,Under 20000,Xbox,>20,Basic PC/Laptop,Discount seeker,Anime,Blue,Flipkart,500-1500,2000-5000,Unlikely,0,1,0,0,0
366,18-21,Male,Tier 1,Student,50000-100000,PC/Laptop,2-5,Console,Balanced,Cyberpunk,Green,Flipkart,3000-7000,10000-20000,Very likely,1,1,1,0,0
367,Under 18,Male,Tier 1,Working Professional,20000-50000,Xbox,<2,Mid-range PC,Discount seeker,Anime,Purple,Flipkart,500-1500,5000-10000,Maybe,0,1,0,0,0
368,22-25,Female,Tier 1,Student,50000-100000,Mobile,2-5,Basic PC/Laptop,Balanced,Cyberpunk,Green,Flipkart,1500-3000,10000-20000,Likely,1,0,0,0,1
369,26-30,Male,Tier 2,Working Professional,20000-50000,PC/Laptop,2-5,Mid-range PC,Cheapest option,RGB,Green,Amazon,1500-3000,5000-10000,Very unlikely,0,0,0,0,0
370,Under 18,Male,Tier 1,Working Professional,Under 20000,PC/Laptop,2-5,Mobile only,Discount seeker,Minimal,Blue,Flipkart,500-1500,2000-5000,Likely,0,1,1,0,0
371,Under 18,Prefer not to say,Tier 1,Working Professional,Under 20000,Mobile,10-20,Basic PC/Laptop,Discount seeker,No preference,Blue,Offline Store,Under 500,Under 2000,Very likely,0,0,1,0,0
372,22-25,Male,Tier 1,Student,Under 20000,PC/Laptop,<2,Mobile only,Cheapest option,No preference,Blue,Amazon,Under 500,Under 2000,Likely,0,0,1,0,0
373,26-30,Male,Tier 1,Working Professional,Under 20000,PlayStation,10-20,Console,Balanced,Anime,RGB,International Websites,7000+,Above 20000,Likely,1,0,1,1,0
374,31-40,Female,Tier 2,Student,50000-100000,Multiple,2-5,Mobile only,Premium buyer,No preference,Red,Amazon,3000-7000,10000-20000,Maybe,0,0,0,1,0
375,Under 18,Male,Tier 2,Business Owner,20000-50000,Mobile,<2,Basic PC/Laptop,Balanced,Minimal,Purple,Flipkart,1500-3000,5000-10000,Very likely,0,0,1,0,0
376,22-25,Male,Tier 3,Working Professional,No income,Multiple,6-10,High-end PC,Discount seeker,RGB,Blue,Amazon,Under 500,Under 2000,Unlikely,1,1,0,0,0
377,Under 18,Male,Tier 2,Student,Under 20000,Multiple,10-20,High-end PC,Premium buyer,Minimal,Black,Amazon,500-1500,2000-5000,Unlikely,0,0,0,0,0
378,26-30,Male,Tier 2,Student,20000-50000,Multiple,<2,Mobile only,Discount seeker,Anime,Black,Amazon,500-1500,5000-10000,Likely,0,0,1,0,0
379,26-30,Female,Tier 2,Other,20000-50000,PlayStation,10-20,Basic PC/Laptop,Balanced,RGB,Green,Flipkart,1500-3000,5000-10000,Unlikely,1,0,0,0,0
380,18-21,Female,Tier 2,Student,No income,PC/Laptop,>20,Mid-range PC,Balanced,No preference,RGB,Flipkart,Under 500,2000-5000,Likely,0,0,0,0,0
381,18-21,Prefer not to say,Tier 1,Student,Under 20000,PlayStation,10-20,Mid-range PC,Discount seeker,RGB,Green,Amazon,Under 500,2000-5000,Likely,1,0,0,0,0
382,Under 18,Female,Tier 1,Freelancer/Creator,Under 20000,Mobile,2-5,Mobile only,Premium buyer,Minimal,Black,Amazon,500-1500,2000-5000,Likely,0,0,1,1,0
383,31-40,Male,Tier 1,Working Professional,20000-50000,Multiple,2-5,Basic PC/Laptop,Premium buyer,Minimal,Red,Amazon,1500-3000,5000-10000,Very likely,1,1,1,0,0
384,Under 18,Male,Tier 1,Working Professional,20000-50000,PC/Laptop,<2,High-end PC,Balanced,RGB,Pastel,International Websites,500-1500,2000-5000,Maybe,1,0,0,0,0
385,26-30,Male,Tier 2,Working Professional,20000-50000,Multiple,6-10,Basic PC/Laptop,Premium buyer,Cyberpunk,Green,Amazon,500-1500,2000-5000,Very likely,0,0,1,0,0
386,Under 18,Male,Tier 1,Student,Under 20000,Xbox,2-5,Mobile only,Premium buyer,Minimal,RGB,Amazon,500-1500,2000-5000,Very likely,0,0,1,0,0
387,22-25,Male,Tier 1,Student,20000-50000,PC/Laptop,<2,Mobile only,Premium buyer,No preference,Black,Offline Store,1500-3000,5000-10000,Unlikely,0,0,0,0,0
388,26-30,Female,Tier 2,Student,Under 20000,Mobile,2-5,High-end PC,Discount seeker,RGB,White,Flipkart,500-1500,2000-5000,Very unlikely,0,0,1,0,0
389,18-21,Male,Tier 2,Student,Under 20000,PlayStation,10-20,Console,Balanced,No preference,Purple,Amazon,Under 500,2000-5000,Likely,0,0,1,0,0
390,Under 18,Male,Tier 1,Other,50000-100000,PlayStation,6-10,Mobile only,Discount seeker,Minimal,Blue,Amazon,1500-3000,10000-20000,Likely,1,0,1,1,1
391,31-40,Male,Tier 2,Working Professional,50000-100000,Mobile,<2,Console,Discount seeker,No preference,Green,Amazon,3000-7000,10000-20000,Likely,0,0,0,0,0
392,22-25,Male,Tier 3,Student,No income,Multiple,<2,Mobile only,Discount seeker,Minimal,Blue,Flipkart,Under 500,2000-5000,Very unlikely,0,0,1,0,1
393,Under 18,Male,Tier 2,Working Professional,Under 20000,PlayStation,10-20,Mid-range PC,Discount seeker,Anime,White,Flipkart,Under 500,Under 2000,Maybe,0,0,0,1,0
394,Above 40,Male,Tier 1,Student,100000-200000,PC/Laptop,10-20,Mobile only,Balanced,No preference,Blue,Amazon,3000-7000,10000-20000,Maybe,0,0,0,0,0
395,18-21,Male,Tier 1,Student,20000-50000,Mobile,2-5,Basic PC/Laptop,Discount seeker,No preference,RGB,Amazon,500-1500,2000-5000,Likely,1,0,0,0,0
396,22-25,Male,Tier 2,Student,No income,PC/Laptop,>20,Mid-range PC,Balanced,Cyberpunk,White,Amazon,500-1500,Under 2000,Very likely,0,0,0,0,0
397,Under 18,Male,Tier 2,Student,Under 20000,Mobile,6-10,Console,Balanced,No preference,Pastel,Amazon,500-1500,Under 2000,Likely,1,0,1,0,0
398,Under 18,Male,Tier 3,Other,20000-50000,PlayStation,>20,Basic PC/Laptop,Premium buyer,Anime,Black,Flipkart,1500-3000,5000-10000,Likely,0,0,0,0,0
399,22-25,Female,Tier 2,Student,100000-200000,Multiple,2-5,High-end PC,Discount seeker,Minimal,White,Offline Store,3000-7000,Above 20000,Very unlikely,1,0,0,0,0
400,18-21,Male,Tier 2,Working Professional,Under 20000,Mobile,<2,Mid-range PC,Discount seeker,RGB,Black,Flipkart,Under 500,2000-5000,Very unlikely,0,0,0,0,0
401,22-25,Female,Tier 1,Freelancer/Creator,No income,Multiple,2-5,Mid-range PC,Balanced,Cyberpunk,Red,International Websites,Under 500,2000-5000,Very likely,0,1,0,0,0
402,18-21,Female,Tier 2,Working Professional,Above 200000,PlayStation,<2,Mid-range PC,Balanced,Cyberpunk,RGB,Amazon,7000+,Above 20000,Very unlikely,1,0,0,0,1
403,31-40,Male,Tier 2,Working Professional,20000-50000,PC/Laptop,<2,Basic PC/Laptop,Balanced,No preference,Red,Amazon,1500-3000,2000-5000,Maybe,0,0,0,1,0
404,Under 18,Male,Tier 3,Other,Under 20000,PC/Laptop,10-20,Mid-range PC,Discount seeker,No preference,Pastel,Flipkart,Under 500,Under 2000,Very likely,0,0,1,1,0
405,26-30,Male,Tier 2,Student,100000-200000,Mobile,6-10,Console,Discount seeker,RGB,Purple,International Websites,7000+,Above 20000,Maybe,1,0,0,0,0
406,22-25,Male,Tier 2,Student,No income,Xbox,>20,Mid-range PC,Balanced,Minimal,Blue,Brand Website,500-1500,2000-5000,Maybe,0,0,0,1,0
407,18-21,Male,Tier 1,Working Professional,Under 20000,PC/Laptop,2-5,High-end PC,Premium buyer,Minimal,White,Offline Store,Under 500,2000-5000,Unlikely,1,1,1,0,0
408,26-30,Female,Tier 2,Student,50000-100000,Mobile,>20,Mid-range PC,Balanced,RGB,Blue,Amazon,1500-3000,5000-10000,Unlikely,0,0,1,0,0
409,18-21,Female,Tier 2,Business Owner,100000-200000,PC/Laptop,<2,Mid-range PC,Discount seeker,RGB,RGB,Offline Store,3000-7000,10000-20000,Likely,0,0,1,1,0
410,18-21,Male,Tier 2,Working Professional,No income,PlayStation,2-5,Basic PC/Laptop,Discount seeker,Cyberpunk,RGB,Amazon,Under 500,Under 2000,Maybe,0,0,0,0,1
411,18-21,Male,Tier 1,Working Professional,No income,PlayStation,6-10,Basic PC/Laptop,Balanced,RGB,Red,Flipkart,500-1500,Under 2000,Maybe,0,0,1,0,0
412,31-40,Male,Tier 1,Working Professional,50000-100000,Multiple,6-10,High-end PC,Discount seeker,No preference,Green,Flipkart,3000-7000,5000-10000,Likely,0,0,1,0,0
413,18-21,Female,Tier 2,Student,No income,PC/Laptop,>20,Basic PC/Laptop,Balanced,Minimal,Blue,Flipkart,500-1500,2000-5000,Likely,1,0,0,0,0
414,31-40,Male,Tier 3,Working Professional,Under 20000,PC/Laptop,<2,Basic PC/Laptop,Balanced,No preference,Red,Amazon,500-1500,2000-5000,Likely,0,0,0,0,0
415,26-30,Male,Tier 3,Working Professional,20000-50000,Mobile,2-5,High-end PC,Discount seeker,Anime,Pastel,Flipkart,1500-3000,5000-10000,Maybe,0,1,0,0,0
416,22-25,Female,Tier 2,Business Owner,Under 20000,PlayStation,10-20,Mobile only,Discount seeker,Anime,Pastel,Offline Store,Under 500,2000-5000,Very likely,1,0,0,0,0
417,18-21,Male,Tier 1,Student,20000-50000,PlayStation,2-5,Console,Cheapest option,Minimal,Purple,Brand Website,500-1500,5000-10000,Likely,0,0,0,0,0
418,18-21,Male,Tier 1,Freelancer/Creator,20000-50000,PC/Laptop,6-10,Basic PC/Laptop,Discount seeker,No preference,Pastel,Amazon,1500-3000,2000-5000,Unlikely,0,0,0,0,0
419,22-25,Male,Tier 2,Student,20000-50000,Mobile,6-10,Console,Discount seeker,Anime,Blue,Amazon,1500-3000,2000-5000,Unlikely,0,0,1,0,0
420,18-21,Female,Tier 3,Working Professional,20000-50000,Multiple,<2,Mid-range PC,Discount seeker,Anime,White,Offline Store,500-1500,2000-5000,Unlikely,0,0,0,0,0
421,26-30,Male,Tier 3,Student,20000-50000,PC/Laptop,2-5,High-end PC,Cheapest option,No preference,Black,Offline Store,500-1500,2000-5000,Likely,0,1,0,0,0
422,31-40,Male,Tier 1,Business Owner,No income,PC/Laptop,6-10,Mobile only,Balanced,No preference,Blue,International Websites,500-1500,Under 2000,Maybe,0,1,0,0,0
423,18-21,Male,Tier 1,Student,50000-100000,Mobile,>20,Mid-range PC,Balanced,Anime,Purple,Amazon,1500-3000,5000-10000,Very likely,0,0,1,1,0
424,31-40,Male,Tier 1,Freelancer/Creator,20000-50000,PC/Laptop,2-5,Mid-range PC,Discount seeker,RGB,RGB,Flipkart,500-1500,2000-5000,Very unlikely,0,0,0,0,0
425,22-25,Female,Tier 3,Freelancer/Creator,50000-100000,Mobile,10-20,Mid-range PC,Balanced,Minimal,Green,Amazon,3000-7000,10000-20000,Likely,0,1,0,0,0
426,Under 18,Male,Tier 1,Working Professional,Under 20000,Mobile,6-10,Mid-range PC,Balanced,Anime,Purple,Amazon,500-1500,2000-5000,Unlikely,0,0,1,0,0
427,18-21,Female,Tier 3,Working Professional,20000-50000,Xbox,>20,Mobile only,Balanced,Cyberpunk,RGB,Offline Store,500-1500,5000-10000,Very likely,0,0,0,1,0
428,22-25,Female,Tier 3,Student,Under 20000,Mobile,<2,Mobile only,Cheapest option,Anime,Blue,Amazon,500-1500,2000-5000,Very likely,0,1,0,0,0
429,22-25,Male,Tier 1,Business Owner,100000-200000,Mobile,<2,Mid-range PC,Discount seeker,No preference,Blue,Amazon,3000-7000,10000-20000,Unlikely,0,0,1,1,0
430,22-25,Male,Tier 1,Student,20000-50000,Multiple,6-10,High-end PC,Discount seeker,No preference,Pastel,Amazon,1500-3000,2000-5000,Unlikely,0,0,0,0,0
431,26-30,Male,Tier 1,Working Professional,100000-200000,Multiple,2-5,Mid-range PC,Premium buyer,Minimal,Pastel,Flipkart,3000-7000,Above 20000,Likely,1,1,0,0,1
432,26-30,Male,Tier 1,Student,Under 20000,PC/Laptop,<2,Basic PC/Laptop,Balanced,Anime,Purple,Amazon,500-1500,2000-5000,Likely,1,1,0,0,1
433,18-21,Male,Tier 1,Student,Under 20000,Multiple,6-10,Mid-range PC,Cheapest option,Anime,Red,Amazon,Under 500,2000-5000,Very likely,0,0,0,0,0
434,22-25,Male,Tier 1,Student,Under 20000,PC/Laptop,>20,Basic PC/Laptop,Balanced,No preference,Black,Brand Website,Under 500,Under 2000,Likely,0,1,1,0,0
435,22-25,Female,Tier 1,Student,50000-100000,PC/Laptop,10-20,Basic PC/Laptop,Balanced,RGB,Black,Amazon,3000-7000,5000-10000,Unlikely,0,0,1,0,1
436,22-25,Male,Tier 3,Working Professional,Under 20000,PC/Laptop,10-20,Mid-range PC,Discount seeker,Minimal,White,Flipkart,Under 500,Under 2000,Very likely,0,0,0,0,0
437,22-25,Female,Tier 2,Student,No income,Xbox,>20,Console,Discount seeker,Cyberpunk,Green,Amazon,Under 500,2000-5000,Likely,0,0,0,1,0
438,18-21,Male,Tier 3,Working Professional,20000-50000,Multiple,2-5,Basic PC/Laptop,Premium buyer,RGB,Black,Amazon,7000+,Above 20000,Unlikely,1,0,0,0,0
439,18-21,Male,Tier 1,Freelancer/Creator,Under 20000,PC/Laptop,6-10,Mobile only,Balanced,Anime,Purple,Amazon,Under 500,2000-5000,Likely,0,0,1,1,0
440,22-25,Male,Tier 1,Other,Under 20000,PC/Laptop,6-10,Mid-range PC,Discount seeker,Minimal,White,Flipkart,Under 500,Under 2000,Likely,1,0,0,0,0
441,26-30,Male,Tier 2,Student,100000-200000,PlayStation,6-10,High-end PC,Balanced,No preference,Purple,Flipkart,7000+,Above 20000,Unlikely,0,1,0,0,0
442,26-30,Male,Tier 3,Business Owner,100000-200000,Xbox,6-10,Console,Premium buyer,RGB,Green,Flipkart,7000+,Above 20000,Very likely,0,0,0,0,0
443,22-25,Male,Tier 2,Student,20000-50000,Mobile,6-10,Console,Balanced,Minimal,Purple,Brand Website,500-1500,2000-5000,Likely,0,0,0,0,0
444,18-21,Male,Tier 1,Business Owner,20000-50000,PC/Laptop,2-5,Basic PC/Laptop,Discount seeker,Cyberpunk,Pastel,Amazon,1500-3000,2000-5000,Likely,1,0,0,1,0
445,18-21,Male,Tier 1,Student,50000-100000,PlayStation,6-10,Mobile only,Balanced,Minimal,White,Amazon,3000-7000,10000-20000,Likely,1,1,0,0,0
446,31-40,Male,Tier 2,Freelancer/Creator,Under 20000,Xbox,<2,Mid-range PC,Balanced,Anime,White,International Websites,Under 500,Under 2000,Likely,0,0,0,0,0
447,26-30,Male,Tier 2,Student,100000-200000,PC/Laptop,10-20,Mid-range PC,Cheapest option,No preference,RGB,Brand Website,7000+,10000-20000,Maybe,0,0,1,0,0
448,Above 40,Female,Tier 1,Freelancer/Creator,20000-50000,PlayStation,2-5,Basic PC/Laptop,Discount seeker,Anime,Black,Flipkart,7000+,Above 20000,Maybe,0,0,0,1,0
449,18-21,Male,Tier 2,Business Owner,Under 20000,Mobile,<2,Basic PC/Laptop,Cheapest option,Minimal,Red,Brand Website,500-1500,Under 2000,Very likely,0,0,0,0,0
450,18-21,Female,Tier 2,Student,20000-50000,Mobile,6-10,Basic PC/Laptop,Balanced,No preference,Blue,Amazon,1500-3000,5000-10000,Unlikely,0,0,1,1,1
451,18-21,Male,Tier 2,Student,100000-200000,PC/Laptop,2-5,Mid-range PC,Balanced,Minimal,White,Brand Website,7000+,10000-20000,Likely,0,0,0,0,0
452,22-25,Male,Tier 3,Business Owner,100000-200000,PC/Laptop,<2,Mid-range PC,Cheapest option,Minimal,White,International Websites,7000+,Above 20000,Unlikely,0,1,0,0,0
453,Under 18,Male,Tier 1,Working Professional,20000-50000,Multiple,6-10,Basic PC/Laptop,Discount seeker,Anime,Black,Offline Store,1500-3000,5000-10000,Very likely,0,0,0,0,0
454,Under 18,Female,Tier 3,Business Owner,Under 20000,Multiple,2-5,Basic PC/Laptop,Premium buyer,Anime,Pastel,Amazon,500-1500,Under 2000,Maybe,0,0,0,0,0
455,26-30,Male,Tier 1,Student,20000-50000,PlayStation,2-5,Mobile only,Discount seeker,Cyberpunk,White,Amazon,1500-3000,2000-5000,Likely,1,0,0,0,0
456,22-25,Male,Tier 1,Working Professional,Under 20000,Xbox,6-10,Mid-range PC,Cheapest option,RGB,Purple,Offline Store,Under 500,2000-5000,Maybe,0,0,0,0,1
457,Under 18,Male,Tier 1,Working Professional,No income,PlayStation,2-5,Mobile only,Premium buyer,Minimal,Pastel,Offline Store,500-1500,2000-5000,Unlikely,0,0,0,1,0
458,18-21,Male,Tier 1,Other,No income,Mobile,2-5,Mobile only,Balanced,RGB,Purple,Flipkart,500-1500,2000-5000,Likely,0,0,0,0,0
459,18-21,Male,Tier 1,Freelancer/Creator,100000-200000,Xbox,2-5,Mid-range PC,Premium buyer,RGB,Red,Amazon,3000-7000,10000-20000,Maybe,0,1,0,0,0
460,22-25,Male,Tier 2,Working Professional,20000-50000,Multiple,2-5,High-end PC,Balanced,No preference,Pastel,Flipkart,500-1500,2000-5000,Very likely,1,1,1,0,0
461,22-25,Male,Tier 2,Freelancer/Creator,20000-50000,PlayStation,2-5,Basic PC/Laptop,Balanced,No preference,White,Offline Store,7000+,Above 20000,Maybe,0,0,1,0,0
462,22-25,Male,Tier 2,Student,Under 20000,PC/Laptop,>20,Basic PC/Laptop,Discount seeker,Cyberpunk,Pastel,Amazon,Under 500,Under 2000,Very likely,1,0,0,0,0
463,26-30,Male,Tier 1,Student,No income,Multiple,6-10,Mid-range PC,Premium buyer,Minimal,Pastel,Flipkart,Under 500,Under 2000,Maybe,0,0,0,0,1
464,Under 18,Male,Tier 1,Student,Under 20000,Mobile,2-5,Basic PC/Laptop,Balanced,Anime,RGB,Amazon,Under 500,Under 2000,Very likely,0,0,1,0,0
465,18-21,Male,Tier 1,Student,20000-50000,Mobile,2-5,Basic PC/Laptop,Balanced,Anime,Pastel,Amazon,1500-3000,5000-10000,Very likely,1,0,0,0,0
466,22-25,Male,Tier 1,Working Professional,Under 20000,Mobile,6-10,Mid-range PC,Discount seeker,Anime,Purple,Amazon,Under 500,2000-5000,Maybe,0,0,1,1,1
467,22-25,Male,Tier 1,Student,20000-50000,PlayStation,10-20,Mid-range PC,Balanced,Minimal,RGB,Amazon,500-1500,2000-5000,Unlikely,0,0,0,0,0
468,26-30,Male,Tier 1,Working Professional,20000-50000,PC/Laptop,10-20,Basic PC/Laptop,Balanced,Cyberpunk,Green,Amazon,1500-3000,5000-10000,Likely,0,0,1,0,1
469,22-25,Female,Tier 1,Student,Under 20000,Mobile,10-20,High-end PC,Premium buyer,Cyberpunk,Red,Offline Store,500-1500,2000-5000,Very likely,0,0,1,0,0
470,22-25,Female,Tier 1,Student,20000-50000,Multiple,10-20,Mobile only,Premium buyer,Minimal,RGB,Amazon,1500-3000,2000-5000,Maybe,1,0,0,0,0
471,18-21,Male,Tier 2,Working Professional,Under 20000,Mobile,6-10,Basic PC/Laptop,Discount seeker,Anime,Purple,Amazon,500-1500,Under 2000,Very likely,0,0,0,1,0
472,26-30,Male,Tier 1,Student,No income,PC/Laptop,6-10,Mobile only,Balanced,Anime,Pastel,Amazon,500-1500,Under 2000,Unlikely,0,1,1,1,0
473,22-25,Male,Tier 2,Student,No income,Xbox,6-10,Console,Discount seeker,Minimal,Red,Flipkart,Under 500,2000-5000,Very likely,0,0,1,1,0
474,26-30,Male,Tier 1,Working Professional,No income,Mobile,<2,Mid-range PC,Discount seeker,Minimal,RGB,Brand Website,500-1500,Under 2000,Unlikely,0,0,0,0,0
475,22-25,Male,Tier 1,Working Professional,20000-50000,PC/Laptop,2-5,Console,Discount seeker,Cyberpunk,RGB,Offline Store,500-1500,5000-10000,Very likely,1,0,0,1,0
476,22-25,Male,Tier 2,Business Owner,Under 20000,Mobile,2-5,Basic PC/Laptop,Balanced,Minimal,Pastel,Amazon,500-1500,Under 2000,Likely,0,1,0,0,0
477,18-21,Female,Tier 3,Student,50000-100000,Mobile,<2,Basic PC/Laptop,Balanced,No preference,RGB,Flipkart,3000-7000,10000-20000,Unlikely,0,1,1,0,0
478,18-21,Prefer not to say,Tier 2,Student,Under 20000,Mobile,<2,High-end PC,Balanced,Anime,White,Amazon,Under 500,Under 2000,Likely,0,0,1,0,0
479,18-21,Male,Tier 1,Student,No income,Mobile,10-20,Console,Discount seeker,Anime,Red,Flipkart,Under 500,2000-5000,Likely,0,0,1,0,0
480,18-21,Male,Tier 2,Working Professional,50000-100000,PC/Laptop,10-20,Basic PC/Laptop,Cheapest option,Anime,Pastel,Flipkart,1500-3000,5000-10000,Likely,0,0,1,0,0
481,31-40,Male,Tier 2,Working Professional,No income,Mobile,6-10,Mid-range PC,Balanced,Minimal,Blue,Offline Store,500-1500,2000-5000,Very likely,1,0,0,1,0
482,18-21,Male,Tier 1,Student,Above 200000,Mobile,6-10,Mid-range PC,Premium buyer,No preference,Red,Amazon,7000+,10000-20000,Maybe,1,0,1,0,0
483,18-21,Male,Tier 1,Other,Under 20000,Multiple,2-5,Mobile only,Discount seeker,Anime,Pastel,International Websites,Under 500,Under 2000,Very likely,0,1,0,0,0
484,31-40,Male,Tier 2,Student,No income,Mobile,<2,Basic PC/Laptop,Cheapest option,Minimal,Green,Amazon,500-1500,2000-5000,Maybe,0,0,0,0,0
485,18-21,Male,Tier 1,Working Professional,Under 20000,Mobile,<2,Basic PC/Laptop,Premium buyer,Minimal,RGB,Flipkart,500-1500,2000-5000,Likely,0,0,1,1,0
486,22-25,Male,Tier 1,Working Professional,20000-50000,Mobile,2-5,Mid-range PC,Premium buyer,Cyberpunk,Green,Brand Website,500-1500,5000-10000,Likely,0,0,0,0,0
487,18-21,Female,Tier 3,Working Professional,20000-50000,PC/Laptop,10-20,High-end PC,Cheapest option,RGB,Black,Flipkart,1500-3000,2000-5000,Likely,1,0,0,0,0
488,18-21,Male,Tier 2,Student,100000-200000,PC/Laptop,2-5,Mid-range PC,Premium buyer,Minimal,Blue,Amazon,3000-7000,10000-20000,Very unlikely,0,0,0,0,0
489,18-21,Male,Tier 1,Student,No income,PlayStation,2-5,Basic PC/Laptop,Balanced,Cyberpunk,RGB,International Websites,Under 500,2000-5000,Unlikely,0,0,0,0,0
490,18-21,Female,Tier 3,Student,20000-50000,PC/Laptop,2-5,Mid-range PC,Balanced,Minimal,Pastel,Offline Store,1500-3000,2000-5000,Very likely,0,0,1,0,0
491,22-25,Male,Tier 1,Working Professional,50000-100000,Mobile,10-20,Basic PC/Laptop,Premium buyer,Minimal,RGB,Amazon,7000+,Above 20000,Likely,0,0,0,0,0
492,18-21,Male,Tier 1,Student,No income,PC/Laptop,<2,Basic PC/Laptop,Balanced,Minimal,Blue,International Websites,500-1500,Under 2000,Very likely,0,0,0,1,0
493,31-40,Female,Tier 2,Working Professional,20000-50000,PlayStation,6-10,High-end PC,Premium buyer,No preference,Red,Flipkart,1500-3000,5000-10000,Maybe,1,0,1,0,0
494,18-21,Male,Tier 1,Working Professional,50000-100000,PlayStation,2-5,Console,Discount seeker,RGB,Purple,Flipkart,3000-7000,10000-20000,Likely,1,0,0,0,0
